analysis,group,graph_id,world,fold,node_id,comparison,primary_arm,comparator_arm,comparator_instances,metric,primary_value,comparator_value,delta
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_uniform,full_oracle,uniform,1,prediction_margin,-0.17268874301368187,-0.008701505182667435,-0.16398723783101443
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_uniform,full_oracle,uniform,1,mrr,0.2,0.14285714285714285,0.05714285714285716
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_uniform,full_oracle,uniform,1,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_uniform,full_oracle,uniform,1,recall_at_5,1.0,0.0,1.0
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_uniform,full_oracle,uniform,1,match_acc,1.0,0.0,1.0
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_uniform,full_oracle,uniform,1,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,gold_cosine,-0.64920202483532,0.9047788196015948,-1.5539808444369148
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,centered_cosine,0.04611892166041541,-0.041356403702833354,0.08747532536324876
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,prediction_margin,-0.17268874301368187,-0.049376736726158166,-0.1233120062875237
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,mrr,0.2,0.14285714285714285,0.05714285714285716
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,recall_at_5,1.0,0.0,1.0
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,match_acc,1.0,0.0,1.0
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,4,node_004,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,gold_cosine,0.5433320669457815,0.8199078840847607,-0.27657581713897916
structural_group,root,graph_00,industrial_cooling_system,4,node_004,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,centered_cosine,0.130188210984903,0.06803846706195643,0.06214974392294656
structural_group,root,graph_00,industrial_cooling_system,4,node_004,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,prediction_margin,-0.2510270942384434,-0.15054780494884712,-0.10047928928959626
structural_group,root,graph_00,industrial_cooling_system,4,node_004,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,mrr,0.3333333333333333,0.25,0.08333333333333331
structural_group,root,graph_00,industrial_cooling_system,4,node_004,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,recall_at_1,0.0,0.0,0.0
